Identificador de contenido,Título,Gravedad,Resumen del problema,Descripción del problema,Nombre de la propiedad,Valor,Origen de datos,Nombre de la lista,Hora de inicio de la subida de la lista
REFID889EXBICLQ,Extensible Chromo Pro,should_fix,Agrega al menos dos imágenes para estos artículos.,Agrega al menos dos imágenes diferentes para cada artículo para ayudar a los clientes a decidir qué comprar.,AdditionalImageURLs,[],MANUAL_CREATION,,
REFID889EXBICLQ,Extensible Chromo Pro,should_fix,Agrega al menos dos imágenes para estos artículos.,Agrega al menos dos imágenes diferentes para cada artículo para ayudar a los clientes a decidir qué comprar.,ImageURL,"https:\/\/z-p3-scontent.fmex10-2.fna.fbcdn.net\/v\/t45.5328-4\/326654196_5771384976292594_7829577616899718078_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=c48759&_nc_eui2=AeHtdqDMg0DOmPP1Xl2BNxlmcUXtMG-nrfFxRe0wb6et8bhdl1F3vRl6X25FTe65w9yU_BSZBWfbenmWpaCIq8yz&_nc_ohc=zM0zjDg21XYAX9crWZh&_nc_ad=z-m&_nc_cid=1092&_nc_ht=z-p3-scontent.fmex10-2.fna&oh=00_AfAkNZxMoLvx163i7AxAQMevUT93hEiGvTycQjp_JlVtVw&oe=63F16E39",MANUAL_CREATION,,
REFID599PCCLLQ,Correa Brown Stylo,should_fix,Agrega al menos dos imágenes para estos artículos.,Agrega al menos dos imágenes diferentes para cada artículo para ayudar a los clientes a decidir qué comprar.,AdditionalImageURLs,[],MANUAL_CREATION,,
REFID599PCCLLQ,Correa Brown Stylo,should_fix,Agrega al menos dos imágenes para estos artículos.,Agrega al menos dos imágenes diferentes para cada artículo para ayudar a los clientes a decidir qué comprar.,ImageURL,"https:\/\/z-p3-scontent.fmex10-4.fna.fbcdn.net\/v\/t45.5328-4\/325218280_5480782685360389_8230716557914796607_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=c48759&_nc_eui2=AeE4o_1xw4s-UIyTQ0BxELtQpfNNtA8PnUOl8020Dw-dQwMiDyPXus5XQbjGtavaT_Vh4_YL8SJi0IhQtZ-lD7QQ&_nc_ohc=NEJEWduex7UAX8qTNWp&_nc_ad=z-m&_nc_cid=1092&_nc_ht=z-p3-scontent.fmex10-4.fna&oh=00_AfAOdUayE316FtYa6j4REjYZSVvfAr_lQvIdpVJ3iVD9nQ&oe=63F2D547",MANUAL_CREATION,,
REFID579PNLRLQ,Correa Stand-Black,should_fix,Agrega al menos dos imágenes para estos artículos.,Agrega al menos dos imágenes diferentes para cada artículo para ayudar a los clientes a decidir qué comprar.,AdditionalImageURLs,[],MANUAL_CREATION,,
REFID579PNLRLQ,Correa Stand-Black,should_fix,Agrega al menos dos imágenes para estos artículos.,Agrega al menos dos imágenes diferentes para cada artículo para ayudar a los clientes a decidir qué comprar.,ImageURL,"https:\/\/z-p3-scontent.fmex10-4.fna.fbcdn.net\/v\/t45.5328-4\/327778524_6154587114573364_700440476253639084_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=c48759&_nc_eui2=AeHEJvD18jtyP9yYJu2tgNBHHfTTzuW9w9od9NPO5b3D2lu4CHrzhEW158nE7BNZGz9ZYyjmCGeMqgaY5-E-jlkF&_nc_ohc=9bi2C50z2zkAX_eMbnA&_nc_ad=z-m&_nc_cid=1092&_nc_ht=z-p3-scontent.fmex10-4.fna&oh=00_AfAL7P-0kcsitOeWq_D-21FvLvU6bJjrFTJS8Kcx6XZt2A&oe=63F29774",MANUAL_CREATION,,
REFID669CPCGRCLQ,Correa Practic Brown,should_fix,Agrega al menos dos imágenes para estos artículos.,Agrega al menos dos imágenes diferentes para cada artículo para ayudar a los clientes a decidir qué comprar.,AdditionalImageURLs,[],MANUAL_CREATION,,
REFID669CPCGRCLQ,Correa Practic Brown,should_fix,Agrega al menos dos imágenes para estos artículos.,Agrega al menos dos imágenes diferentes para cada artículo para ayudar a los clientes a decidir qué comprar.,ImageURL,"https:\/\/z-p3-scontent.fmex10-4.fna.fbcdn.net\/v\/t45.5328-4\/324967983_6094818257241859_4545726029420651996_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=c48759&_nc_eui2=AeH-N7DfMgcZQKCcbeXv-0OWmsALRfBzjQqawAtF8HONCs2AGQRhqqMUwsjN4Jw7ziD2eEL3jGl_KU604Phhegox&_nc_ohc=lSoUhj6A2twAX9Sf2BH&_nc_ad=z-m&_nc_cid=1092&_nc_ht=z-p3-scontent.fmex10-4.fna&oh=00_AfAe-wqyUGp2dmgIvYpJjsPymQIAs0dHM3ZsyOKW3VTR_g&oe=63F21ACC",MANUAL_CREATION,,
REFID799PCGBLQ,Correa Dakota Brown,should_fix,Agrega al menos dos imágenes para estos artículos.,Agrega al menos dos imágenes diferentes para cada artículo para ayudar a los clientes a decidir qué comprar.,AdditionalImageURLs,[],MANUAL_CREATION,,
REFID799PCGBLQ,Correa Dakota Brown,should_fix,Agrega al menos dos imágenes para estos artículos.,Agrega al menos dos imágenes diferentes para cada artículo para ayudar a los clientes a decidir qué comprar.,ImageURL,"https:\/\/z-p3-scontent.fmex10-4.fna.fbcdn.net\/v\/t45.5328-4\/328076603_5670162816386469_4199075449732192647_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=c48759&_nc_eui2=AeEF3Ipler70qGjfJoN1y7qjg66rYoiD1Q6DrqtiiIPVDllaZ7bqq25AegsnwgwBK1X8XuVcbnt3G6Fk24jmwkim&_nc_ohc=ZErW-qnJlsYAX_8dGVe&_nc_ad=z-m&_nc_cid=1092&_nc_ht=z-p3-scontent.fmex10-4.fna&oh=00_AfBnFvHgR9k9D9SvYuCJyHKWDhUJ2XP1LV8EcPNIkp_s1Q&oe=63F2D0B2",MANUAL_CREATION,,
